股票编号,日期,流动资产,速动资产,流动负债
00052,2015-09,3209.78,56300.0,37000.0
00052,2015-03,3050.89,42600.0,25299.999999999996
00054,2018-09,49700.0,933300.0,126300.00000000001
00054,2018-06,47000.0,950400.0000000001,120600.0
00054,2017-12,39800.0,485500.0,206100.0
00054,2017-06,38300.0,503500.0,219600.0
00054,2016-12,46900.00000000001,527100.0,117000.0
00054,2016-06,67900.0,496700.0,132200.0
00054,2015-12,74400.0,633800.0,139300.0
00054,2015-06,78300.0,677200.0,120100.0
00055,2018-12,6644.7,65500.0,19200.0
00055,2018-06,5797.41,60000.0,16800.0
00055,2017-12,7347.95,63300.0,15500.0
00055,2017-06,8208.44,65300.0,14200.0
00055,2016-12,6945.9,62400.0,17000.0
00055,2016-06,7338.79,60800.0,14200.0
00055,2015-12,7080.82,56600.0,12800.0
00055,2015-06,7589.42,46800.0,10300.0
00057,2018-09,60400.0,192500.0,55100.0
00057,2018-03,64300.0,195100.00000000003,60800.0
00057,2017-09,49500.0,199000.0,63500.0
00057,2017-03,40700.0,193299.99999999997,58500.0
00057,2016-09,41200.0,178500.0,49500.0
00057,2016-03,41800.0,172300.0,47699.99999999999
00057,2015-09,49800.00000000001,193700.0,64100.0
00057,2015-03,53400.0,199300.0,65000.0
00058,2018-12,2262.52,45400.0,10800.0
00058,2018-06,1695.9,45900.0,9423.92
00058,2017-12,967.9,45400.0,9136.75
00058,2017-06,1372.62,39700.0,9793.0
00058,2016-12,1219.57,33900.0,11100.000000000002
00058,2016-06,1117.48,34200.0,10600.0
00058,2015-12,920.8,16400.0,9891.84
00058,2015-06,1636.84,22799.999999999996,23600.0
00059,2018-12,1169800.0,1752400.0,1379500.0
00059,2018-06,1191500.0,1692100.0,1077100.0
00059,2017-12,779500.0,1477800.0,1050400.0
00059,2017-06,772400.0,1274100.0,873000.0
00059,2016-12,830900.0,1299100.0,956000.0
00059,2016-06,704500.0,945500.0,715400.0000000001
00059,2015-12,712300.0,951100.0,792000.0
00059,2015-06,627900.0,783900.0,634700.0
00060,2018-09,2727.93,21500.0,4029.56
00060,2018-03,2003.53,9392.25,15400.0
00060,2017-09,3520.14,11299.999999999998,16000.0
00060,2017-03,2744.25,7972.71,15800.0
00060,2016-09,2970.09,7863.76,14700.0
00060,2016-03,2719.73,7603.24,14200.0
00060,2015-09,2588.92,8550.95,14200.0
00060,2015-03,3680.84,9549.36,14800.0
00061,2018-12,182.34,31400.0,123200.0
00061,2018-06,163.56,30200.0,528100.0
00061,2017-12,357.52,28100.0,532100.0
00061,2017-06,73.08,22700.0,466300.0
00061,2016-12,418.27,21200.0,469500.0
00061,2016-06,443.74,14900.0,459600.0
00061,2015-12,463.29,11900.0,386000.0
00061,2015-06,463.94,13799.999999999998,458300.0
00062,2018-12,7228.04,165700.0,103400.0
00062,2018-06,6289.53,140200.0,120600.0
00062,2017-12,4681.01,148200.0,111600.0
00062,2017-06,3662.62,117000.0,114900.0
00062,2016-12,5047.54,158700.0,125000.0
00062,2016-06,5486.98,201600.0,173500.0
00062,2015-12,5799.53,282800.0,172200.0
00062,2015-06,4920.93,248600.0,153400.0
00063,2018-12,46.18,1126.79,18400.0
00063,2018-06,37.27,3530.4,17500.0
00063,2017-12,38.62,5524.28,17600.0
00063,2017-06,21600.0,34300.0,19300.0
00063,2016-12,22300.0,31700.0,12300.0
00063,2016-06,20900.0,22799.999999999996,842.19
00063,2015-12,20500.0,23700.0,458.1
00063,2015-06,19700.0,22300.0,595.16
00065,2018-12,547.63,16800.0,12700.0
00065,2018-06,519.27,12100.0,15600.0
00065,2017-12,2077.65,12900.0,14600.0
00065,2017-06,1057.21,4323.89,12800.0
00065,2016-12,661.13,11100.000000000002,18700.0
00065,2016-06,1350.21,6560.28,19300.0
00065,2015-12,1484.8,12200.0,23000.0
00065,2015-06,2568.66,18400.0,20400.0
00069,2018-12,130100.0,1107000.0,997099.9999999999
00069,2018-06,154600.0,1120000.0,1108400.0
00069,2017-12,55000.0,944500.0,884800.0
00069,2017-06,31500.0,956800.0000000001,793300.0
00069,2016-12,41900.00000000001,976800.0000000001,1216700.0
00069,2016-06,39900.0,1009599.9999999999,1195000.0
00069,2015-12,41600.0,1031800.0000000001,1611500.0
00069,2015-06,42300.00000000001,1088100.0,1328100.0
00071,2018-12,10400.0,454799.99999999994,69200.0
00071,2018-06,10400.0,439799.99999999994,90399.99999999999
00071,2017-12,10600.0,326900.0,64700.0
00071,2017-06,10600.0,299000.0,70900.0
00071,2016-12,10700.0,297200.0,108100.0
00071,2016-06,10600.0,284800.0,96100.0
00071,2015-12,10400.0,293300.0,107100.00000000001
00071,2015-06,10400.0,290900.0,120399.99999999999
00072,2018-12,4889.6,33000.0,18200.0
00072,2018-06,3956.6,31600.0,17300.0
00072,2017-12,3318.8,36500.0,17000.0
00072,2017-06,3183.0,36100.0,17800.0
00072,2016-12,2549.0,42300.00000000001,19300.0
00072,2016-06,2154.8,33300.0,17900.0
